soil_moisture,rainfall_24h,rainfall_48h,slope_degree,elevation,historical_count,landslide_occurred,state,district,lat,lon
75.2,198.2,324.7,48.1,2445.0,3,1,Nagaland,Kohima,25.6586,94.1086
80.1,207.3,354.8,50.5,1217.0,3,1,Nagaland,Kohima,25.6586,94.1086
80.0,154.4,212.1,37.0,2602.0,1,1,Nagaland,Dimapur,25.9,93.7266
83.9,104.9,161.2,30.7,460.0,1,1,Nagaland,Dimapur,25.9,93.7266
92.8,142.7,216.3,43.0,418.0,1,1,Nagaland,Dimapur,25.9,93.7266
73.3,178.4,311.1,54.5,1889.0,1,1,Nagaland,Dimapur,25.9,93.7266
79.3,186.6,360.6,46.6,2712.0,1,1,Nagaland,Dimapur,25.9,93.7266
88.5,201.4,277.8,47.0,1456.0,1,1,Nagaland,Dimapur,25.9,93.7266
81.6,171.6,339.5,54.5,1092.0,1,1,Nagaland,Dimapur,25.9,93.7266
87.0,185.0,285.4,28.7,498.0,1,1,Nagaland,Dimapur,25.9,93.7266
88.3,148.6,295.6,38.9,2747.0,1,1,Assam,Karbi Anglong,26.1,93.2
77.3,191.1,259.8,41.7,2325.0,1,1,Assam,Karbi Anglong,26.1,93.2
92.7,195.2,258.8,36.2,517.0,1,1,Assam,Karbi Anglong,26.1,93.2
68.3,174.5,314.1,48.2,2477.0,1,1,Assam,Karbi Anglong,26.1,93.2
87.2,192.1,256.3,32.0,1893.0,1,1,Assam,Karbi Anglong,26.1,93.2
90.7,80.6,133.9,45.3,471.0,1,1,Assam,Karbi Anglong,26.1,93.2
77.0,205.4,363.6,32.1,2447.0,1,1,Assam,Karbi Anglong,26.1,93.2
75.4,199.5,301.0,42.7,1353.0,1,1,Assam,Karbi Anglong,26.1,93.2
73.2,204.1,292.2,27.5,1221.0,1,1,Assam,Kamrup,26.1445,91.7362
86.5,193.0,385.9,33.9,1379.0,1,1,Assam,Kamrup,26.1445,91.7362
69.1,160.5,320.7,46.0,1829.0,1,1,Assam,Kamrup,26.1445,91.7362
76.8,208.1,343.0,29.0,1277.0,1,1,Assam,Kamrup,26.1445,91.7362
67.0,108.3,142.1,38.6,1923.0,1,1,Assam,Kamrup,26.1445,91.7362
75.3,138.9,273.7,47.6,1698.0,1,1,Assam,Kamrup,26.1445,91.7362
73.5,205.6,301.1,34.8,2582.0,1,1,Assam,Kamrup,26.1445,91.7362
80.9,183.9,315.2,44.6,1119.0,1,1,Assam,Kamrup,26.1445,91.7362
72.2,125.1,176.3,51.2,1080.0,1,1,Arunachal Pradesh,Papum Pare,27.0844,93.692
81.8,190.9,352.9,38.2,1543.0,1,1,Arunachal Pradesh,Papum Pare,27.0844,93.692
94.8,174.4,326.3,52.1,2290.0,1,1,Arunachal Pradesh,Papum Pare,27.0844,93.692
70.6,158.7,217.6,44.6,2693.0,1,1,Arunachal Pradesh,Papum Pare,27.0844,93.692
80.4,140.6,186.3,53.8,647.0,1,1,Arunachal Pradesh,Papum Pare,27.0844,93.692
66.2,114.4,154.0,38.7,1639.0,1,1,Arunachal Pradesh,Papum Pare,27.0844,93.692
74.4,87.1,120.1,36.5,545.0,1,1,Arunachal Pradesh,Papum Pare,27.0844,93.692
85.9,109.0,164.7,36.8,1400.0,1,1,Arunachal Pradesh,Papum Pare,27.0844,93.692
65.0,95.7,182.2,25.0,1620.0,2,1,Sikkim,Namchi,27.1684,88.551
79.7,126.6,202.9,48.4,2419.0,2,1,Sikkim,Namchi,27.1684,88.551
72.8,125.1,183.9,39.4,2040.0,2,1,Sikkim,Namchi,27.1684,88.551
71.8,126.3,246.5,26.5,1506.0,2,1,Sikkim,Namchi,27.1684,88.551
86.3,101.1,134.7,29.1,2605.0,2,1,Sikkim,Namchi,27.1684,88.551
65.3,106.4,140.6,28.3,1888.0,2,1,Sikkim,Namchi,27.1684,88.551
72.2,159.7,273.6,50.5,411.0,2,1,Sikkim,Namchi,27.1684,88.551
90.6,166.7,235.7,48.2,2453.0,2,1,Sikkim,Namchi,27.1684,88.551
72.6,208.6,337.6,43.1,2763.0,4,1,Sikkim,Gangtok,27.3389,88.6065
75.8,193.8,295.2,49.0,1842.0,4,1,Sikkim,Gangtok,27.3389,88.6065
71.5,138.0,210.0,27.3,472.0,4,1,Sikkim,Gangtok,27.3389,88.6065
75.4,82.7,117.0,46.8,2099.0,4,1,Sikkim,Gangtok,27.3389,88.6065
87.2,124.4,239.2,42.8,702.0,4,1,Sikkim,Gangtok,27.3389,88.6065
69.3,177.0,251.6,40.2,2780.0,4,1,Sikkim,Gangtok,27.3389,88.6065
65.1,82.3,164.2,42.5,705.0,4,1,Sikkim,Gangtok,27.3389,88.6065
91.9,203.3,340.5,43.7,1056.0,4,1,Sikkim,Gangtok,27.3389,88.6065
66.5,163.2,245.9,44.9,2407.0,4,1,Sikkim,Gangtok,27.3389,88.6065
65.5,163.4,238.9,51.2,1009.0,4,1,Sikkim,Gangtok,27.3389,88.6065
83.3,157.5,248.4,45.3,2142.0,4,1,Sikkim,Gangtok,27.3389,88.6065
82.0,186.2,370.2,37.6,1635.0,4,1,Sikkim,Gangtok,27.3389,88.6065
65.4,191.4,318.6,37.2,626.0,4,1,Sikkim,Gangtok,27.3389,88.6065
91.7,135.3,240.5,29.5,2708.0,4,1,Sikkim,Gangtok,27.3389,88.6065
70.4,107.9,205.2,52.4,909.0,4,1,Sikkim,Gangtok,27.3389,88.6065
79.1,182.7,349.8,36.4,1641.0,4,1,Sikkim,Gangtok,27.3389,88.6065
87.3,182.4,337.0,42.1,651.0,2,1,Sikkim,Mangan,27.5124,88.5281
92.1,201.2,373.9,28.0,891.0,2,1,Sikkim,Mangan,27.5124,88.5281
87.3,83.2,165.3,36.3,2126.0,2,1,Sikkim,Mangan,27.5124,88.5281
91.6,135.2,206.0,43.3,1794.0,2,1,Sikkim,Mangan,27.5124,88.5281
77.3,164.2,321.1,39.0,872.0,2,1,Sikkim,Mangan,27.5124,88.5281
76.3,135.2,188.1,29.9,2043.0,2,1,Sikkim,Mangan,27.5124,88.5281
75.2,213.7,314.2,28.0,2208.0,2,1,Sikkim,Mangan,27.5124,88.5281
91.4,118.9,171.4,30.6,1653.0,2,1,Sikkim,Mangan,27.5124,88.5281
79.1,116.3,154.9,39.4,2702.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
84.6,149.4,205.8,32.6,1107.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
87.9,202.7,391.5,54.5,2758.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
93.6,90.1,125.8,34.1,1727.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
67.9,198.4,343.6,41.3,797.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
72.6,102.4,194.3,42.5,2164.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
73.9,132.0,209.0,47.8,2254.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
71.2,211.8,293.2,51.9,641.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
72.9,198.5,283.0,37.4,1480.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
72.4,179.4,340.2,51.2,1214.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
80.9,114.8,168.9,29.8,2656.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
91.6,188.8,313.9,39.7,1671.0,3,1,Arunachal Pradesh,Tawang,27.586,91.88
81.1,140.8,196.1,28.8,2685.0,1,1,Arunachal Pradesh,Lower Subansiri,27.5887,93.8492
79.5,213.4,301.9,41.6,899.0,1,1,Arunachal Pradesh,Lower Subansiri,27.5887,93.8492
72.6,84.2,116.5,52.5,1172.0,1,1,Arunachal Pradesh,Lower Subansiri,27.5887,93.8492
83.2,145.1,229.3,41.0,849.0,1,1,Arunachal Pradesh,Lower Subansiri,27.5887,93.8492
94.7,194.6,353.9,39.1,767.0,1,1,Arunachal Pradesh,Lower Subansiri,27.5887,93.8492
92.6,127.8,170.6,35.3,2307.0,1,1,Arunachal Pradesh,Lower Subansiri,27.5887,93.8492
83.7,185.1,343.5,31.4,2617.0,1,1,Arunachal Pradesh,Lower Subansiri,27.5887,93.8492
78.1,169.5,220.6,54.8,1074.0,1,1,Arunachal Pradesh,Lower Subansiri,27.5887,93.8492
66.9,144.2,200.4,29.6,1917.0,1,1,Arunachal Pradesh,East Siang,28.07,95.33
76.8,209.1,318.5,46.8,1507.0,1,1,Arunachal Pradesh,East Siang,28.07,95.33
84.8,164.0,267.4,53.5,1223.0,1,1,Arunachal Pradesh,East Siang,28.07,95.33
70.3,174.9,331.0,26.2,1479.0,1,1,Arunachal Pradesh,East Siang,28.07,95.33
91.8,184.9,368.8,40.9,1984.0,1,1,Arunachal Pradesh,East Siang,28.07,95.33
74.1,212.7,331.0,47.2,1368.0,1,1,Arunachal Pradesh,East Siang,28.07,95.33
81.9,180.8,299.4,52.2,1406.0,1,1,Arunachal Pradesh,East Siang,28.07,95.33
84.4,127.9,202.9,38.2,702.0,1,1,Arunachal Pradesh,East Siang,28.07,95.33
23.7,48.4,69.1,18.3,79.0,1,0,Mizoram,Lunglei,22.9,92.75
33.1,17.9,26.6,22.2,408.0,0,0,Synthetic,Safe zone,26.339245794239933,89.77617682074964
31.0,14.0,17.4,18.5,1370.0,0,0,Synthetic,Safe zone,24.01261203962093,92.25247420970432
48.1,66.9,94.1,10.1,957.0,2,0,Manipur,Churachandpur,24.3322,93.6825
32.8,68.4,89.0,18.7,84.0,0,0,Synthetic,Safe zone,25.000307230673776,94.25064567993508
44.4,33.9,53.1,22.1,517.0,0,0,Synthetic,Safe zone,25.722742010206698,91.93894553655477
45.3,26.7,32.7,23.3,1390.0,2,0,Meghalaya,East Khasi Hills,25.2838,91.7344
53.7,68.6,101.0,20.3,1156.0,0,0,Synthetic,Safe zone,25.40303815471153,91.73871316708563
29.6,46.9,58.4,10.2,900.0,0,0,Synthetic,Safe zone,25.049911941125217,90.31313965276779
52.6,60.9,72.1,5.2,537.0,2,0,Meghalaya,East Khasi Hills,25.5788,91.8933
51.9,59.5,69.6,20.5,218.0,0,0,Synthetic,Safe zone,24.950312950782646,94.9916570900715
27.7,15.0,19.7,17.4,1403.0,0,0,Synthetic,Safe zone,27.904105727665172,89.41784381954837
25.5,56.4,69.7,22.7,1012.0,1,0,Assam,Karbi Anglong,26.1,93.2
24.5,59.1,70.2,13.5,851.0,0,0,Synthetic,Safe zone,25.50383074540139,93.1169774936909
46.1,69.5,111.2,15.3,188.0,0,0,Synthetic,Safe zone,26.63921649484359,94.85998446929953
32.7,35.0,45.9,6.0,1025.0,2,0,Sikkim,Namchi,27.1684,88.551
34.1,56.2,85.2,21.4,654.0,0,0,Synthetic,Safe zone,24.607728411204498,93.49292467800232
52.1,36.9,57.1,7.9,1325.0,0,0,Synthetic,Safe zone,23.480476164859407,89.92115313232769
41.4,9.4,10.6,5.0,683.0,3,0,Arunachal Pradesh,Tawang,27.586,91.88
51.0,7.3,10.4,21.5,294.0,0,0,Synthetic,Safe zone,23.734318674107023,94.16480584172322
52.9,40.0,60.4,6.9,622.0,0,0,Synthetic,Safe zone,26.688987780531864,90.54471175594378
50.1,37.8,55.7,14.3,583.0,1,0,Mizoram,Lunglei,22.9,92.75
28.8,18.5,27.4,7.4,175.0,0,0,Synthetic,Safe zone,23.88145682511065,90.05207906872353
52.9,30.9,49.3,7.7,998.0,0,0,Synthetic,Safe zone,25.243647536006254,91.35750906018244
55.0,68.4,105.1,8.8,370.0,2,0,Manipur,Churachandpur,24.3322,93.6825
46.2,23.8,34.9,16.3,849.0,0,0,Synthetic,Safe zone,27.142734624193928,93.26319663045606
21.1,8.2,11.5,14.7,427.0,0,0,Synthetic,Safe zone,25.09328043657401,93.54746191239717
53.1,41.5,53.6,10.4,807.0,2,0,Meghalaya,East Khasi Hills,25.2838,91.7344
32.6,41.7,59.9,6.3,52.0,0,0,Synthetic,Safe zone,24.061385694203715,94.36706898631269
45.9,16.2,25.0,14.4,740.0,0,0,Synthetic,Safe zone,27.677709719213276,89.35692015310003
28.6,43.1,51.6,18.6,360.0,2,0,Meghalaya,East Khasi Hills,25.5788,91.8933
24.0,18.5,24.2,8.5,245.0,0,0,Synthetic,Safe zone,27.301409431094704,90.92238322158384
34.4,8.6,11.0,10.3,935.0,0,0,Synthetic,Safe zone,24.026951488362034,94.33019271837705
57.2,11.5,13.3,7.3,948.0,1,0,Assam,Karbi Anglong,26.1,93.2
24.9,60.4,89.2,21.4,813.0,0,0,Synthetic,Safe zone,27.983386057595766,89.26505061766497
36.1,26.1,41.0,16.5,1219.0,0,0,Synthetic,Safe zone,23.851705968292595,94.87180486340263
39.9,37.1,58.8,12.6,626.0,2,0,Sikkim,Namchi,27.1684,88.551
43.4,13.3,16.8,8.9,200.0,0,0,Synthetic,Safe zone,27.3307230316551,92.53598699676486
34.3,31.6,41.5,17.7,1394.0,0,0,Synthetic,Safe zone,27.66389809828491,91.34895187718398
33.2,34.3,47.5,14.2,1005.0,3,0,Arunachal Pradesh,Tawang,27.586,91.88
42.2,25.8,32.9,12.6,187.0,0,0,Synthetic,Safe zone,23.830313162069867,93.33868281287232
35.6,18.9,26.2,20.1,423.0,0,0,Synthetic,Safe zone,27.133949409618722,94.5650291577503
43.9,48.5,54.6,23.9,619.0,1,0,Mizoram,Lunglei,22.9,92.75
57.0,42.6,47.0,5.8,1037.0,0,0,Synthetic,Safe zone,25.813340069159665,89.15919462323644
49.7,60.4,81.4,14.3,58.0,0,0,Synthetic,Safe zone,26.933248562467995,90.98429640047664
55.2,29.2,40.4,10.4,283.0,2,0,Manipur,Churachandpur,24.3322,93.6825
51.0,37.3,51.0,24.3,1447.0,0,0,Synthetic,Safe zone,27.27821060851202,90.1256557565902
43.8,62.1,79.9,7.0,1226.0,0,0,Synthetic,Safe zone,25.40881775681086,92.38635608215507
59.3,44.5,58.4,12.4,656.0,2,0,Meghalaya,East Khasi Hills,25.2838,91.7344
24.7,56.7,86.1,10.7,491.0,0,0,Synthetic,Safe zone,27.371671281674068,89.14382213316773
40.8,35.1,50.8,8.3,1019.0,0,0,Synthetic,Safe zone,24.883670039374383,92.71228866901785
21.6,35.0,47.7,9.3,252.0,2,0,Meghalaya,East Khasi Hills,25.5788,91.8933
27.5,27.4,31.4,23.9,637.0,0,0,Synthetic,Safe zone,27.044848012533745,94.84650273865309
23.2,47.4,72.7,17.7,672.0,0,0,Synthetic,Safe zone,25.155381788189693,89.21539331604416
41.4,69.6,109.9,5.8,1073.0,1,0,Assam,Karbi Anglong,26.1,93.2
32.1,63.7,71.5,23.7,1264.0,0,0,Synthetic,Safe zone,23.587521911263007,89.3589460239038
53.4,15.1,20.7,23.3,873.0,0,0,Synthetic,Safe zone,24.98616650736412,91.67009632912395
22.5,68.0,85.3,8.8,465.0,2,0,Sikkim,Namchi,27.1684,88.551
58.6,11.1,17.1,19.2,1254.0,0,0,Synthetic,Safe zone,27.87948770183948,94.05292793310123
57.7,13.3,19.8,15.9,838.0,0,0,Synthetic,Safe zone,27.49460788160257,94.83082291188026
48.2,36.4,48.3,12.7,574.0,3,0,Arunachal Pradesh,Tawang,27.586,91.88
35.7,10.8,12.3,20.6,697.0,0,0,Synthetic,Safe zone,27.6534224427231,92.67332605156372
21.4,15.2,18.3,24.5,367.0,0,0,Synthetic,Safe zone,25.578778381440255,94.61706158984117
59.1,20.4,22.9,8.1,142.0,1,0,Mizoram,Lunglei,22.9,92.75
27.8,42.0,65.3,15.7,958.0,0,0,Synthetic,Safe zone,24.009336258047707,93.8035017240431
44.7,61.2,96.3,12.0,181.0,0,0,Synthetic,Safe zone,24.129644789583914,91.62704939405502
57.8,29.6,44.0,15.8,315.0,2,0,Manipur,Churachandpur,24.3322,93.6825
32.8,47.5,68.2,13.7,382.0,0,0,Synthetic,Safe zone,26.60953389756338,90.01323824967629
57.5,17.2,19.9,15.0,803.0,0,0,Synthetic,Safe zone,25.540964573891223,91.62000493603304
59.8,36.6,49.0,13.4,147.0,2,0,Meghalaya,East Khasi Hills,25.2838,91.7344
43.7,19.8,28.1,6.0,1473.0,0,0,Synthetic,Safe zone,25.34502539506336,94.38053222954419
39.0,8.9,13.5,18.0,1184.0,0,0,Synthetic,Safe zone,25.140849317544365,92.82762046547987
54.2,46.0,58.6,18.3,1024.0,2,0,Meghalaya,East Khasi Hills,25.5788,91.8933
58.4,29.1,38.2,21.2,783.0,0,0,Synthetic,Safe zone,26.682865465578665,91.75825678672155
28.6,53.4,62.3,9.0,959.0,0,0,Synthetic,Safe zone,26.73634900096035,94.36812732120688
30.9,12.2,19.2,8.1,337.0,1,0,Assam,Karbi Anglong,26.1,93.2
31.7,39.4,60.7,20.2,1077.0,0,0,Synthetic,Safe zone,23.87590283928002,91.14609578915585
39.1,14.6,18.0,11.2,235.0,0,0,Synthetic,Safe zone,25.75119845954129,93.23016917914515
22.8,36.3,54.1,20.0,1232.0,2,0,Sikkim,Namchi,27.1684,88.551
37.9,58.3,71.2,12.2,306.0,0,0,Synthetic,Safe zone,25.33742269714286,91.35236013449266
