rainfall_24h_mm,rainfall_72h_mm,soil_moisture_pct,slope_angle_deg,vulnerability_index,pore_water_pressure_kpa,elevation_m,vegetation_ndvi,landslide_probability_true,landslide_occurred
64.12,134.67,30.89,25.57,29.87,3.67,1837.0,0.533,0.5296,1
59.16,181.66,40.58,54.65,43.89,3.31,2514.2,0.363,0.825,1
17.34,111.16,53.82,55.98,66.05,1.44,3384.2,0.378,0.7712,1
21.59,80.69,43.92,47.78,57.53,1.84,1140.7,0.296,0.7225,1
8.68,42.87,26.38,34.37,70.75,0.47,3042.0,0.37,0.5121,1
8.81,20.3,42.93,27.27,57.72,0.79,438.1,0.47,0.4873,0
34.36,124.12,37.09,43.74,16.49,2.77,3077.5,0.585,0.4364,0
43.08,113.16,47.68,37.68,84.78,3.03,2492.2,0.265,0.8947,1
40.36,101.63,42.51,28.36,58.77,2.72,294.2,0.501,0.7011,1
45.0,110.38,28.77,38.91,58.07,1.57,2215.5,0.532,0.6987,1
83.43,251.26,50.73,23.5,87.62,5.49,3273.4,0.408,0.9131,1
115.17,315.45,44.13,52.21,80.45,8.14,1627.4,0.137,0.9853,1
66.56,163.3,36.39,33.09,88.47,3.49,587.0,0.449,0.8672,1
102.54,320.02,40.74,43.12,64.0,7.69,3462.4,0.374,0.9447,1
146.36,374.79,48.13,34.56,49.62,16.23,1575.2,0.622,0.9596,1
39.08,143.0,45.11,39.49,85.11,3.77,1941.9,0.311,0.8415,1
28.59,78.94,32.06,40.12,65.56,2.0,3392.1,0.474,0.5195,1
17.07,58.82,40.41,30.75,52.39,1.37,2129.8,0.641,0.3787,0
21.48,86.81,33.62,56.33,91.55,1.52,2431.4,0.072,0.8371,1
160.44,484.23,78.86,46.59,42.53,18.14,2542.8,0.385,0.9942,1
123.56,376.28,60.99,54.01,52.51,14.46,2686.5,0.338,0.9848,1
44.62,118.35,31.0,51.46,58.01,2.69,2840.5,0.463,0.6409,1
213.85,528.5,74.41,41.39,79.61,32.1,446.8,0.267,0.9993,1
187.77,432.49,60.32,52.92,40.93,25.06,3283.3,0.493,0.9905,1
50.92,166.15,35.71,26.82,28.3,4.41,1999.7,0.568,0.4418,0
23.38,105.26,41.53,31.13,68.64,2.06,1961.7,0.372,0.6937,1
24.27,70.63,29.44,24.31,61.39,1.71,2957.2,0.424,0.5515,1
58.97,192.63,43.92,34.92,35.36,4.96,1212.3,0.595,0.707,1
114.57,230.09,52.9,36.49,65.09,9.55,2364.5,0.44,0.9451,1
14.34,43.9,29.54,33.45,33.97,0.87,1246.1,0.478,0.3815,0
21.29,70.54,34.61,48.55,71.31,1.82,2710.8,0.465,0.6694,1
54.94,174.1,41.95,35.72,37.98,4.89,1628.7,0.522,0.717,1
62.61,188.97,32.25,33.72,70.27,4.97,815.9,0.457,0.7946,1
5.56,11.6,39.39,40.02,77.03,0.27,3199.3,0.539,0.5035,1
65.34,196.21,47.24,29.14,63.63,4.74,2685.9,0.509,0.837,1
14.69,47.94,20.03,47.55,89.6,0.46,246.8,0.348,0.7333,1
23.11,85.76,33.88,26.1,10.84,1.37,412.8,0.617,0.2482,0
36.43,76.03,48.65,58.28,83.89,2.2,1450.9,0.237,0.831,1
113.14,332.76,54.83,46.49,63.67,14.82,2774.3,0.325,0.9878,1
19.89,65.58,36.26,31.22,76.65,1.53,1110.6,0.377,0.6293,1
114.02,264.51,45.46,20.2,85.23,6.79,3469.5,0.442,0.8985,1
13.77,39.5,31.11,48.04,57.26,0.61,3233.0,0.293,0.5449,1
263.67,718.84,77.93,44.41,90.83,40.77,3053.3,0.365,0.9997,1
59.3,202.74,51.84,45.08,41.55,7.32,230.2,0.481,0.8356,1
25.2,70.49,40.27,46.46,54.91,1.33,3381.2,0.399,0.6461,1
59.48,176.53,55.98,26.07,34.2,5.87,2151.7,0.588,0.6777,1
78.8,190.39,47.26,35.76,69.63,5.44,2151.3,0.38,0.8748,1
156.28,418.52,49.41,28.1,24.39,11.08,525.5,0.463,0.9589,1
13.68,55.87,46.32,49.98,74.38,1.36,2211.1,0.176,0.7828,1
29.96,63.61,33.23,42.06,94.08,2.26,1944.7,0.223,0.8263,1
69.42,253.79,41.75,35.06,76.12,6.95,1986.7,0.473,0.8937,1
60.09,211.71,41.9,25.48,62.17,5.26,831.7,0.384,0.8174,1
10.74,54.77,31.07,34.54,36.24,0.43,1992.4,0.462,0.4097,0
89.31,228.21,49.72,34.92,89.68,7.39,438.7,0.498,0.95,1
35.68,95.57,45.59,45.1,92.3,2.89,270.6,0.239,0.8356,1
4.1,31.0,38.86,42.44,55.13,0.25,903.5,0.22,0.6513,1
4.96,14.19,27.16,51.09,23.78,0.26,2845.6,0.433,0.3854,0
72.49,210.43,29.79,38.39,65.15,3.24,2191.7,0.33,0.857,1
38.86,132.29,21.71,28.26,65.46,2.0,3151.2,0.427,0.6124,1
119.9,252.72,59.39,44.6,67.52,9.87,1483.7,0.364,0.9671,1
11.35,37.92,51.28,46.11,82.24,1.02,1354.5,0.459,0.6315,1
44.73,148.92,34.2,40.48,36.53,2.08,2510.2,0.49,0.5838,1
23.52,76.0,20.78,46.45,45.5,0.81,1543.4,0.368,0.4562,0
29.24,104.92,50.35,38.88,91.39,2.69,1458.0,0.267,0.8509,1
29.32,89.78,24.05,39.55,44.6,1.35,1738.0,0.426,0.5083,1
93.34,236.84,39.93,37.4,42.23,6.08,578.6,0.546,0.8579,1
40.29,135.19,50.2,22.73,40.0,4.56,869.3,0.639,0.5876,1
84.09,297.6,66.3,27.74,75.63,10.43,2191.0,0.34,0.9619,1
115.12,361.65,59.39,23.26,42.06,17.02,2207.9,0.547,0.908,1
10.62,63.93,33.11,42.41,16.43,0.48,2147.8,0.468,0.3287,0
279.54,750.0,96.06,34.63,88.04,38.63,859.3,0.293,0.9999,1
165.7,605.48,71.94,39.22,47.68,26.73,1637.4,0.486,0.9958,1
100.13,254.11,47.15,52.12,66.29,9.07,3239.3,0.353,0.9252,1
35.42,93.48,34.07,32.81,63.49,2.01,3041.1,0.378,0.6877,1
35.97,77.42,47.23,37.0,41.72,2.95,2039.7,0.617,0.4283,0
18.64,49.39,33.32,45.93,85.77,1.2,3172.8,0.336,0.652,1
21.3,63.36,33.16,32.19,86.38,0.93,2427.5,0.436,0.5759,1
6.91,27.31,31.29,26.23,45.89,0.47,1560.5,0.514,0.3536,0
238.99,517.06,84.3,33.97,58.96,35.94,2762.2,0.445,0.9987,1
99.41,353.9,63.54,29.91,57.65,10.97,1196.7,0.507,0.9433,1
115.57,378.16,67.55,53.38,61.9,17.22,3020.4,0.341,0.9826,1
160.15,313.09,61.11,47.77,59.12,18.99,1287.4,0.42,0.9867,1
17.54,64.81,36.77,42.32,55.79,1.41,2822.0,0.471,0.4476,0
79.54,200.89,41.49,50.35,63.93,7.95,1128.3,0.228,0.9068,1
53.83,186.98,59.21,47.6,79.87,7.74,3225.8,0.302,0.9506,1
17.76,56.18,38.45,30.81,63.68,1.2,810.0,0.358,0.6075,1
3.56,58.99,43.08,51.35,91.37,0.2,2572.7,0.16,0.7185,1
52.13,185.08,55.93,39.94,47.31,3.55,1548.6,0.514,0.8379,1
30.57,80.45,36.73,47.74,80.06,2.38,260.9,0.327,0.77,1
34.4,122.78,43.38,51.52,59.89,1.95,1295.1,0.419,0.7945,1
140.73,463.94,63.12,34.73,56.55,15.17,868.7,0.44,0.9879,1
146.49,395.23,59.59,27.84,72.96,17.99,2032.3,0.415,0.9843,1
126.88,395.46,60.06,32.16,74.95,19.03,1057.6,0.434,0.9846,1
87.77,197.64,55.68,37.39,81.7,7.28,439.6,0.406,0.9473,1
19.29,57.18,47.67,48.14,72.48,1.11,3345.2,0.257,0.8114,1
10.78,39.52,43.67,49.87,79.38,0.59,2988.9,0.317,0.7193,1
36.93,128.77,48.01,20.47,75.69,2.64,349.6,0.414,0.6478,1
46.92,147.51,38.5,39.27,91.59,4.5,1095.7,0.267,0.8697,1
144.9,435.07,61.69,37.17,71.81,11.62,2280.6,0.436,0.9931,1
79.86,232.91,52.66,31.98,70.59,9.14,1260.5,0.422,0.9237,1
22.4,51.17,41.09,28.27,53.06,1.28,1130.0,0.486,0.5113,1
84.83,223.83,45.29,35.24,51.53,5.63,2166.3,0.319,0.8866,1
87.05,235.59,56.51,54.24,36.75,6.45,841.3,0.377,0.9277,1
40.47,171.87,38.61,34.86,63.34,2.34,2340.1,0.458,0.7263,1
10.91,64.73,34.17,39.46,27.0,0.5,494.7,0.579,0.3684,0
122.98,257.36,55.05,44.29,81.03,8.28,1272.3,0.297,0.9668,1
13.69,63.58,38.97,35.89,53.83,1.19,581.4,0.42,0.4361,0
30.7,73.1,28.64,56.54,48.69,1.27,1178.8,0.254,0.6167,1
71.66,199.28,51.57,55.7,20.6,5.0,2453.2,0.408,0.8683,1
28.29,56.4,41.62,32.89,75.82,1.83,2720.9,0.372,0.5803,1
150.79,447.45,78.2,38.96,73.56,25.71,678.5,0.373,0.9971,1
36.48,168.2,40.76,34.27,65.08,2.22,2662.5,0.465,0.7776,1
60.18,164.76,37.59,33.83,56.48,4.31,478.1,0.507,0.7899,1
100.33,186.49,55.31,23.7,72.34,8.22,914.6,0.319,0.8742,1
176.62,401.67,61.01,41.69,11.91,18.35,1851.1,0.556,0.9726,1
130.17,364.31,67.28,39.08,58.06,16.45,3405.2,0.39,0.9828,1
78.17,206.08,37.82,24.73,82.22,6.46,3412.7,0.421,0.8685,1
30.1,61.51,48.95,33.66,26.91,2.31,1778.5,0.567,0.5126,1
70.22,232.52,45.83,52.16,29.52,5.73,2856.5,0.347,0.8482,1
118.32,404.27,60.6,32.52,64.18,14.6,2026.1,0.593,0.9784,1
29.51,98.77,33.83,29.29,39.6,1.56,2680.6,0.556,0.5085,1
19.85,76.44,53.21,38.78,73.51,1.57,2355.2,0.295,0.7426,1
58.82,167.31,31.66,58.11,36.38,3.61,2500.7,0.359,0.7854,1
23.25,85.44,34.59,32.59,54.7,1.96,1650.7,0.37,0.4657,0
111.24,258.71,45.55,43.39,49.54,12.08,2949.3,0.408,0.941,1
75.71,188.15,43.2,46.13,64.38,6.48,1670.7,0.355,0.9139,1
24.82,80.72,37.76,32.46,39.39,1.64,2529.0,0.551,0.4022,0
27.15,67.75,50.76,45.06,69.82,2.67,3071.8,0.311,0.6893,1
99.49,266.5,48.95,35.99,37.02,10.92,2363.4,0.696,0.8487,1
27.51,112.49,41.49,42.3,56.14,1.51,1882.2,0.351,0.6784,1
15.64,67.87,36.7,42.33,38.71,1.27,1943.4,0.419,0.5291,1
135.44,430.58,62.91,39.86,84.74,17.51,2539.1,0.319,0.9929,1
10.91,29.9,42.76,26.91,71.32,0.72,504.1,0.371,0.4605,0
95.8,275.24,50.26,48.81,49.27,11.26,2300.6,0.457,0.8965,1
16.06,48.42,48.79,34.8,92.74,1.02,1437.3,0.236,0.8035,1
117.27,281.94,46.54,30.81,45.44,13.07,646.2,0.544,0.8819,1
21.38,79.66,24.38,23.99,59.11,0.89,3211.4,0.469,0.4147,0
64.8,190.04,47.73,41.21,42.68,6.97,1842.2,0.6,0.7808,1
7.89,26.56,44.03,43.55,36.1,0.49,1708.1,0.408,0.3272,0
136.18,303.06,55.37,21.82,30.64,14.61,1989.9,0.698,0.8564,1
29.62,72.88,31.97,39.3,94.36,1.18,2254.4,0.308,0.6396,1
111.96,270.69,62.95,32.12,63.33,11.01,842.3,0.475,0.9573,1
27.0,66.93,32.43,42.64,44.61,1.99,2264.1,0.322,0.5499,1
158.78,475.03,73.53,30.39,51.32,20.91,1363.1,0.472,0.9899,1
26.39,68.79,36.94,43.93,58.77,2.01,2558.6,0.37,0.6396,1
77.93,292.73,54.26,36.45,86.03,9.51,2747.2,0.399,0.9305,1
31.84,103.52,52.41,53.83,29.39,3.15,224.7,0.405,0.5596,1
51.51,170.35,41.38,29.0,44.11,4.18,2563.9,0.643,0.6455,1
4.98,16.72,34.69,35.32,54.96,0.38,1363.3,0.425,0.3931,0
43.09,98.97,34.03,27.99,78.37,1.99,1202.3,0.243,0.628,1
22.97,44.31,36.47,53.08,22.64,1.08,1430.6,0.435,0.47,0
23.86,46.53,26.03,50.62,71.67,1.25,2099.6,0.321,0.677,1
20.98,54.91,24.38,33.07,92.15,1.26,578.0,0.374,0.6728,1
32.74,85.01,37.41,43.05,20.22,2.5,2504.2,0.506,0.4948,0
57.36,193.25,51.49,48.11,87.21,6.25,1669.1,0.448,0.9238,1
16.47,51.5,32.99,40.33,94.97,1.12,727.5,0.316,0.7067,1
45.8,114.97,32.59,39.71,56.64,2.97,1881.0,0.381,0.7461,1
81.0,247.26,50.87,32.59,88.44,6.0,2094.5,0.286,0.9507,1
44.42,176.48,36.51,27.05,82.36,3.72,1342.8,0.504,0.7498,1
45.56,182.81,39.81,51.58,67.65,3.54,3168.8,0.302,0.7818,1
52.55,168.89,45.93,51.75,78.9,5.97,2500.9,0.319,0.8848,1
34.04,112.88,52.98,42.32,26.91,2.33,2382.4,0.589,0.493,0
52.05,138.42,42.06,35.27,43.71,3.48,376.0,0.441,0.8119,1
10.22,27.86,25.1,35.53,75.47,0.34,1855.4,0.344,0.451,0
67.5,158.97,55.29,44.99,27.68,8.65,3007.6,0.596,0.8004,1
121.85,261.49,43.34,51.58,44.04,11.95,2405.4,0.315,0.9303,1
210.32,667.31,85.5,51.08,45.39,39.65,968.4,0.453,0.9989,1
25.93,79.88,35.63,46.75,76.44,1.92,3042.0,0.411,0.7673,1
22.98,72.87,37.76,42.56,80.29,1.16,1419.5,0.287,0.7002,1
15.06,54.13,32.61,26.6,76.07,0.85,3219.6,0.523,0.6312,1
37.95,122.42,39.32,29.93,16.25,3.16,1890.5,0.6,0.5111,1
113.86,296.37,58.22,51.65,55.78,11.07,2795.8,0.315,0.9669,1
12.85,44.44,46.23,41.61,58.02,1.27,2219.4,0.343,0.5006,1
15.0,55.51,31.07,20.84,95.15,0.73,1161.6,0.462,0.5898,1
109.77,245.3,45.66,27.45,67.29,9.56,2357.6,0.415,0.9164,1
28.27,73.29,21.75,43.15,70.05,1.02,231.6,0.363,0.6967,1
86.4,240.84,60.46,20.11,56.99,12.53,2956.2,0.537,0.9106,1
100.71,264.48,66.55,29.9,84.99,11.9,3387.2,0.237,0.9635,1
120.6,348.94,53.04,40.17,73.38,10.06,883.2,0.346,0.9798,1
15.12,49.65,33.08,43.96,59.63,0.64,3116.0,0.457,0.5003,1
15.31,53.06,32.58,42.83,74.23,0.69,753.9,0.239,0.7187,1
164.42,521.54,69.63,32.05,67.3,22.15,1821.9,0.38,0.9939,1
252.65,750.0,83.73,44.57,88.83,44.67,1165.6,0.275,0.9999,1
22.89,94.51,49.98,32.45,76.71,2.79,833.1,0.388,0.7272,1
63.86,226.6,43.86,34.92,46.9,5.53,2693.8,0.485,0.7449,1
165.07,408.27,52.16,45.64,75.53,17.95,2861.8,0.367,0.9898,1
21.15,83.17,45.62,42.76,48.12,1.94,2967.4,0.521,0.5671,1
106.45,320.28,64.24,49.38,56.39,16.23,228.0,0.416,0.9683,1
142.24,283.55,62.45,42.99,81.35,14.15,2997.9,0.301,0.9728,1
11.69,36.74,40.15,40.65,68.66,0.93,369.8,0.377,0.4803,0
45.25,129.84,51.37,27.08,55.28,5.69,1679.8,0.564,0.5888,1
56.23,178.61,32.39,35.99,38.33,2.2,778.4,0.521,0.6966,1
68.52,171.51,41.53,33.28,67.33,4.42,3192.2,0.467,0.8123,1
54.61,128.33,38.41,32.65,50.73,4.59,2103.2,0.493,0.6165,1
8.28,24.79,29.78,56.66,57.03,0.45,1745.9,0.302,0.5405,1
165.47,408.41,68.74,36.6,87.34,16.14,1665.8,0.218,0.996,1
136.06,393.35,59.38,51.32,32.48,15.7,1534.7,0.397,0.9854,1
140.7,284.14,55.68,42.26,47.61,14.65,1764.0,0.45,0.9485,1
100.94,254.94,52.71,47.28,86.28,9.53,2066.6,0.259,0.9664,1
30.22,80.05,40.76,39.08,47.62,2.03,2896.3,0.42,0.6134,1
25.8,99.74,44.47,40.86,38.5,1.46,984.4,0.432,0.5551,1
70.31,161.71,44.02,38.85,49.93,6.14,2854.4,0.462,0.8441,1
9.14,62.05,43.74,31.11,82.16,0.75,2940.6,0.411,0.5438,1
111.17,269.27,57.9,44.88,63.57,12.62,3009.1,0.312,0.9618,1
48.91,137.99,45.77,33.72,47.1,2.69,3307.2,0.478,0.6893,1
12.84,43.45,32.35,22.63,67.92,0.54,3356.7,0.523,0.4005,0
5.47,32.1,19.65,42.65,84.97,0.15,556.2,0.421,0.5298,1
60.72,187.62,42.45,30.48,52.9,4.59,3096.4,0.551,0.7548,1
35.64,106.4,34.75,54.07,42.22,2.79,2990.0,0.438,0.7006,1
67.19,157.07,34.73,55.02,71.77,3.55,1445.4,0.251,0.878,1
75.85,162.75,33.15,52.52,55.05,5.66,2481.5,0.38,0.8502,1
113.17,301.4,68.3,36.05,41.71,11.64,3258.1,0.556,0.921,1
61.65,157.4,36.75,21.69,46.94,4.92,501.4,0.471,0.5894,1
44.8,129.53,43.45,53.3,43.08,4.55,1369.9,0.31,0.7341,1
3.57,18.12,33.6,37.41,72.62,0.27,3414.2,0.389,0.5083,1
211.0,678.85,83.39,56.07,65.22,38.0,2009.0,0.182,0.9997,1
83.44,238.2,35.93,55.8,89.21,3.75,502.8,0.188,0.9682,1
93.51,197.89,51.25,49.54,80.96,7.81,3371.4,0.235,0.945,1
107.73,257.87,58.66,34.1,41.48,9.2,3179.0,0.524,0.8918,1
35.58,82.64,53.27,36.41,34.84,3.44,2861.2,0.475,0.5336,1
77.66,315.45,47.59,49.46,36.47,6.14,2818.8,0.438,0.9533,1
26.68,110.93,45.73,34.7,52.0,2.44,1803.7,0.408,0.6855,1
254.55,497.66,79.63,30.21,79.98,39.23,3088.3,0.404,0.9989,1
82.81,226.01,40.4,40.37,93.68,5.89,1208.8,0.281,0.9311,1
131.15,359.19,63.11,53.79,64.47,18.19,1383.3,0.229,0.9857,1
18.92,44.75,30.77,44.08,40.66,0.71,912.8,0.465,0.4906,0
44.78,122.75,37.07,40.69,74.4,3.86,1530.3,0.374,0.8523,1
28.51,86.13,51.56,27.25,77.77,1.77,971.0,0.47,0.6913,1
47.17,197.11,41.23,41.84,87.18,3.48,1321.4,0.356,0.8804,1
20.1,58.87,36.79,58.76,58.86,1.73,2478.2,0.383,0.6168,1
31.36,66.14,30.92,29.1,15.12,1.69,1619.3,0.58,0.3508,0
178.45,416.41,52.84,39.45,16.88,20.58,2733.3,0.583,0.974,1
50.53,178.99,56.6,50.62,42.16,4.93,1780.7,0.306,0.8706,1
18.18,66.8,33.88,45.45,52.49,1.42,659.4,0.256,0.708,1
39.43,114.59,32.14,44.11,82.71,3.17,2648.9,0.232,0.7801,1
44.21,127.89,38.7,44.27,42.67,4.05,417.6,0.286,0.7885,1
114.49,249.32,47.48,35.79,83.37,6.92,3310.1,0.372,0.9569,1
27.05,170.29,40.99,34.07,70.17,1.54,2975.3,0.413,0.758,1
40.74,87.87,41.11,47.81,49.11,3.19,3378.2,0.277,0.7686,1
14.02,52.66,32.59,47.84,73.38,1.12,1020.6,0.426,0.5129,1
133.91,309.45,50.42,50.15,68.8,11.67,1788.0,0.33,0.9828,1
116.72,317.64,61.15,52.43,81.1,11.14,837.0,0.161,0.9877,1
39.53,151.11,42.02,39.28,65.93,4.08,1594.1,0.48,0.7977,1
79.51,258.23,59.89,39.06,71.99,10.1,1004.2,0.308,0.9506,1
23.22,65.22,43.12,47.41,28.66,2.2,3014.1,0.495,0.4691,0
62.85,147.3,53.63,42.77,78.78,4.53,601.2,0.351,0.877,1
39.13,114.74,28.42,44.26,64.41,1.71,942.8,0.264,0.7251,1
35.73,104.07,45.83,47.32,76.68,3.04,1071.5,0.415,0.8204,1
65.16,221.28,52.11,51.22,46.82,7.33,2636.0,0.59,0.9035,1
45.14,113.21,34.15,35.25,82.62,2.55,2280.2,0.267,0.7214,1
67.51,224.0,58.98,36.18,24.13,5.84,649.7,0.57,0.7272,1
10.83,31.23,28.15,27.09,51.81,0.54,2198.6,0.516,0.3016,0
65.33,157.43,45.74,40.9,83.09,5.23,2993.2,0.338,0.8331,1
79.88,246.02,41.64,23.62,78.38,7.77,1692.3,0.579,0.8324,1
5.31,16.44,45.26,38.24,38.63,0.58,2219.0,0.498,0.3393,0
147.4,497.61,73.08,40.02,52.8,15.29,1955.5,0.464,0.9917,1
81.06,204.12,55.96,33.88,68.84,7.09,1380.8,0.486,0.8992,1
69.84,153.59,43.18,41.21,90.23,6.7,208.5,0.44,0.8753,1
65.52,166.69,52.01,23.18,83.19,5.18,814.8,0.354,0.9059,1
3.33,8.78,32.83,23.73,73.58,0.17,3325.6,0.422,0.3681,0
13.4,66.26,44.3,48.31,54.59,1.23,1370.3,0.405,0.6411,1
49.25,145.61,30.96,35.8,36.33,2.84,1180.5,0.438,0.6288,1
175.0,552.59,72.33,28.57,30.67,26.77,2225.9,0.64,0.992,1
45.07,139.97,33.52,39.54,37.51,1.96,3182.5,0.487,0.6739,1
23.34,102.07,48.59,46.42,50.83,2.1,1198.1,0.315,0.6986,1
33.72,81.18,30.55,31.78,45.59,2.14,936.2,0.481,0.5442,1
24.62,65.18,22.35,42.04,38.33,1.0,3176.5,0.381,0.5151,1
33.62,81.01,47.73,26.67,26.2,2.19,2752.6,0.555,0.45,0
78.73,201.76,50.21,24.74,39.49,5.43,2518.6,0.378,0.7956,1
24.63,83.33,50.42,39.75,98.55,2.44,2038.7,0.342,0.7714,1
32.87,70.21,33.45,39.98,74.55,1.53,1604.3,0.314,0.653,1
5.27,42.44,37.08,42.43,24.74,0.31,2304.9,0.431,0.2668,0
109.63,428.19,69.99,44.99,85.56,13.61,915.8,0.278,0.9935,1
77.19,162.16,45.4,56.95,41.65,6.91,2897.3,0.473,0.8513,1
139.37,423.22,53.23,39.4,29.49,11.46,1574.1,0.555,0.9736,1
19.95,47.3,39.01,34.86,12.37,1.34,2690.6,0.736,0.1969,0
39.87,117.08,42.01,47.29,85.7,2.81,2878.6,0.17,0.8677,1
9.98,88.07,49.11,33.44,79.2,0.65,448.6,0.258,0.6712,1
65.22,174.97,39.92,37.65,57.89,5.85,2429.0,0.399,0.7854,1
18.52,73.04,38.25,26.31,84.52,1.53,1199.1,0.516,0.5336,1
27.01,68.38,29.06,22.72,28.62,1.74,1384.0,0.653,0.4308,0
12.26,61.44,36.39,55.72,57.99,0.62,2620.4,0.395,0.6759,1
16.38,62.56,39.8,48.84,64.7,1.22,3359.4,0.26,0.6546,1
12.41,52.59,30.52,44.08,65.34,0.62,2852.1,0.332,0.5209,1
13.61,44.91,32.69,36.97,47.4,0.74,1162.6,0.428,0.4089,0
8.21,68.84,30.91,30.35,88.47,0.33,2535.9,0.385,0.6939,1
2.74,7.2,37.18,29.73,42.15,0.25,1281.6,0.573,0.2446,0
151.96,402.1,60.8,32.84,90.88,22.38,1650.7,0.332,0.9907,1
125.88,301.49,44.94,40.18,83.7,9.79,606.1,0.232,0.9704,1
126.91,241.84,58.36,44.64,72.24,17.12,2953.2,0.278,0.9816,1
47.47,133.63,51.46,43.06,19.33,3.98,2334.8,0.57,0.5518,1
37.65,90.15,42.5,33.7,43.73,3.08,3047.8,0.597,0.6131,1
3.77,38.75,41.62,55.1,41.33,0.34,937.6,0.424,0.5177,1
2.87,51.76,24.03,45.36,49.8,0.13,626.8,0.372,0.5138,1
13.86,52.63,25.36,40.31,64.66,0.5,2891.0,0.333,0.6328,1
32.5,96.95,48.16,41.75,35.51,2.65,3100.6,0.449,0.5638,1
54.12,162.36,35.28,37.22,32.0,4.18,767.4,0.627,0.6567,1
136.08,368.08,47.69,32.76,50.99,14.37,2318.3,0.421,0.967,1
17.49,93.26,42.85,35.7,44.32,1.23,744.7,0.404,0.5596,1
25.09,93.28,27.21,46.01,65.22,1.3,248.0,0.317,0.793,1
188.09,544.36,65.79,21.56,9.33,18.18,1989.7,0.67,0.9798,1
54.43,143.09,34.63,28.11,63.48,2.88,3336.1,0.418,0.7579,1
36.32,96.84,39.31,24.36,71.26,1.98,2148.6,0.406,0.7305,1
12.45,39.68,38.46,23.99,46.01,0.85,1616.1,0.563,0.2959,0
14.41,30.56,25.13,49.65,73.23,0.77,1130.8,0.201,0.5985,1
6.02,21.69,31.19,44.31,75.01,0.44,1128.9,0.291,0.5816,1
16.84,52.14,21.66,38.44,73.61,0.7,1068.2,0.351,0.5106,1
129.75,382.37,54.51,27.28,82.12,14.48,890.2,0.422,0.9777,1
190.27,447.22,56.34,38.83,65.36,16.58,419.5,0.338,0.9934,1
59.76,125.71,33.23,38.42,57.33,2.9,2698.4,0.315,0.7486,1
22.14,62.41,31.43,30.35,40.0,1.19,1240.7,0.554,0.3212,0
26.26,58.42,45.3,37.54,8.84,2.29,715.0,0.779,0.3055,0
187.79,531.5,86.61,36.73,84.86,20.23,2193.9,0.321,0.9981,1
213.54,430.31,69.33,41.86,52.1,19.54,3283.4,0.449,0.9946,1
88.48,244.36,39.0,42.37,80.1,6.97,2472.0,0.312,0.9495,1
